issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRART,2017,1,15174.21000000,429397468.51999545,15174.21000000,0.00003534
CRART,2017,2,90475.75000000,429397468.51999545,105649.96000000,0.00024604
CRART,2017,3,383966.18000000,429397468.51999545,489616.14000000,0.00114024
CRART,2017,4,425796.58000000,429397468.51999545,915412.72000000,0.00213185
CRART,2017,5,599742.96000000,429397468.51999545,1515155.68000000,0.00352856
CRART,2017,6,603798.75000000,429397468.51999545,2118954.43000000,0.00493472
CRART,2017,7,1242318.69000000,429397468.51999545,3361273.12000000,0.00782788
CRART,2017,8,790635.66000000,429397468.51999545,4151908.78000000,0.00966915
CRART,2017,9,790046.33000000,429397468.51999545,4941955.11000000,0.01150905
CRART,2017,10,1068688.20000000,429397468.51999545,6010643.31000000,0.01399785
CRART,2017,11,1258999.35000000,429397468.51999545,7269642.66000000,0.01692987
CRART,2017,12,1183019.75000000,429397468.51999545,8452662.41000000,0.01968494
CRART,2017,13,1103377.49000000,429397468.51999545,9556039.90000000,0.02225453
CRART,2017,14,953230.66000000,429397468.51999545,10509270.56000000,0.02447446
CRART,2017,15,1092592.01000000,429397468.51999545,11601862.57000000,0.02701894
CRART,2017,16,1028075.07000000,429397468.51999545,12629937.64000000,0.02941316
CRART,2017,17,812702.36000000,429397468.51999545,13442640.00000000,0.03130582
CRART,2017,18,1202635.43000000,429397468.51999545,14645275.43000000,0.03410657
CRART,2017,19,873854.74000000,429397468.51999545,15519130.17000000,0.03614164
CRART,2017,20,1128812.23000000,429397468.51999545,16647942.40000000,0.03877047
CRART,2017,21,731597.52000000,429397468.51999545,17379539.92000000,0.04047425
CRART,2017,22,764661.56000000,429397468.51999545,18144201.48000000,0.04225503
CRART,2017,23,940462.20000000,429397468.51999545,19084663.68000000,0.04444522
CRART,2017,24,746067.28000000,429397468.51999545,19830730.96000000,0.04618269
CRART,2017,25,765433.82000000,429397468.51999545,20596164.78000000,0.04796527
CRART,2017,26,467550.57000000,429397468.51999545,21063715.35000000,0.04905412
CRART,2017,27,638440.31000000,429397468.51999545,21702155.66000000,0.05054095
CRART,2017,28,464919.26000000,429397468.51999545,22167074.92000000,0.05162367
CRART,2017,29,493999.37000000,429397468.51999545,22661074.29000000,0.05277412
CRART,2017,30,615811.43000000,429397468.51999545,23276885.72000000,0.05420825
CRART,2017,31,636509.52000000,429397468.51999545,23913395.24000000,0.05569058
CRART,2017,32,647849.58000000,429397468.51999545,24561244.82000000,0.05719932
CRART,2017,33,601894.05000000,429397468.51999545,25163138.87000000,0.05860104
CRART,2017,34,640334.90000000,429397468.51999545,25803473.77000000,0.06009228
CRART,2017,35,534710.73000000,429397468.51999545,26338184.50000000,0.06133754
CRART,2017,36,326866.43000000,429397468.51999545,26665050.93000000,0.06209876
CRART,2017,37,316987.15000000,429397468.51999545,26982038.08000000,0.06283698
CRART,2017,38,266904.20000000,429397468.51999545,27248942.28000000,0.06345855
CRART,2017,39,280824.79000000,429397468.51999545,27529767.07000000,0.06411255
CRART,2017,40,230542.51000000,429397468.51999545,27760309.58000000,0.06464945
CRART,2017,41,200815.34000000,429397468.51999545,27961124.92000000,0.06511712
CRART,2017,42,97970.36000000,429397468.51999545,28059095.28000000,0.06534527
CRART,2017,43,173336.86000000,429397468.51999545,28232432.14000000,0.06574895
CRART,2017,44,216598.82000000,429397468.51999545,28449030.96000000,0.06625337
CRART,2017,45,89974.94000000,429397468.51999545,28539005.90000000,0.06646291
CRART,2017,46,140608.78000000,429397468.51999545,28679614.68000000,0.06679037
CRART,2017,47,234610.15000000,429397468.51999545,28914224.83000000,0.06733674
CRART,2017,48,141610.55000000,429397468.51999545,29055835.38000000,0.06766653
CRART,2017,49,110312.46000000,429397468.51999545,29166147.84000000,0.06792343
CRART,2017,50,153398.62000000,429397468.51999545,29319546.46000000,0.06828067
CRART,2017,51,84519.17000000,429397468.51999545,29404065.63000000,0.06847750
CRART,2017,52,65161.80000000,429397468.51999545,29469227.43000000,0.06862925
CRART,2018,2,16407.38000000,434012280.47999924,16407.38000000,0.00003780
CRART,2018,3,191863.18000000,434012280.47999924,208270.56000000,0.00047987
CRART,2018,4,320111.13000000,434012280.47999924,528381.69000000,0.00121743
CRART,2018,5,370462.77000000,434012280.47999924,898844.46000000,0.00207101
CRART,2018,6,425494.32000000,434012280.47999924,1324338.78000000,0.00305139
CRART,2018,7,785477.06000000,434012280.47999924,2109815.84000000,0.00486119
CRART,2018,8,721400.81000000,434012280.47999924,2831216.65000000,0.00652336
CRART,2018,9,896125.00000000,434012280.47999924,3727341.65000000,0.00858810
CRART,2018,10,641784.53000000,434012280.47999924,4369126.18000000,0.01006683
CRART,2018,11,912471.86000000,434012280.47999924,5281598.04000000,0.01216924
CRART,2018,12,758407.65000000,434012280.47999924,6040005.69000000,0.01391667
CRART,2018,13,1007269.40000000,434012280.47999924,7047275.09000000,0.01623750
CRART,2018,14,918904.08000000,434012280.47999924,7966179.17000000,0.01835473
CRART,2018,15,1002620.37000000,434012280.47999924,8968799.54000000,0.02066485
CRART,2018,16,813528.41000000,434012280.47999924,9782327.95000000,0.02253929
CRART,2018,17,916954.92000000,434012280.47999924,10699282.87000000,0.02465203
CRART,2018,18,982721.62000000,434012280.47999924,11682004.49000000,0.02691630
CRART,2018,19,936021.14000000,434012280.47999924,12618025.63000000,0.02907297
CRART,2018,20,730089.92000000,434012280.47999924,13348115.55000000,0.03075516
CRART,2018,21,926043.25000000,434012280.47999924,14274158.80000000,0.03288884
CRART,2018,22,637742.27000000,434012280.47999924,14911901.07000000,0.03435825
CRART,2018,23,510328.13000000,434012280.47999924,15422229.20000000,0.03553408
CRART,2018,24,613203.77000000,434012280.47999924,16035432.97000000,0.03694696
CRART,2018,25,517878.65000000,434012280.47999924,16553311.62000000,0.03814019
CRART,2018,26,551191.78000000,434012280.47999924,17104503.40000000,0.03941018
CRART,2018,27,221886.35000000,434012280.47999924,17326389.75000000,0.03992143
CRART,2018,28,375435.10000000,434012280.47999924,17701824.85000000,0.04078646
CRART,2018,29,430138.87000000,434012280.47999924,18131963.72000000,0.04177754
CRART,2018,30,491847.54000000,434012280.47999924,18623811.26000000,0.04291079
CRART,2018,31,466462.35000000,434012280.47999924,19090273.61000000,0.04398556
CRART,2018,32,432853.48000000,434012280.47999924,19523127.09000000,0.04498289
CRART,2018,33,434838.89000000,434012280.47999924,19957965.98000000,0.04598480
CRART,2018,34,415250.33000000,434012280.47999924,20373216.31000000,0.04694157
CRART,2018,35,201317.96000000,434012280.47999924,20574534.27000000,0.04740542
CRART,2018,36,164947.55000000,434012280.47999924,20739481.82000000,0.04778547
CRART,2018,37,83196.54000000,434012280.47999924,20822678.36000000,0.04797716
CRART,2018,38,117147.83000000,434012280.47999924,20939826.19000000,0.04824708
CRART,2018,39,193570.19000000,434012280.47999924,21133396.38000000,0.04869308
CRART,2018,40,178767.55000000,434012280.47999924,21312163.93000000,0.04910498
CRART,2018,41,171025.48000000,434012280.47999924,21483189.41000000,0.04949904
CRART,2018,42,204444.86000000,434012280.47999924,21687634.27000000,0.04997009
CRART,2018,43,192243.22000000,434012280.47999924,21879877.49000000,0.05041304
CRART,2018,44,101165.44000000,434012280.47999924,21981042.93000000,0.05064613
CRART,2018,45,129242.94000000,434012280.47999924,22110285.87000000,0.05094392
CRART,2018,46,179702.10000000,434012280.47999924,22289987.97000000,0.05135797
CRART,2018,47,142335.21000000,434012280.47999924,22432323.18000000,0.05168592
CRART,2018,48,112278.44000000,434012280.47999924,22544601.62000000,0.05194462
CRART,2018,49,153399.77000000,434012280.47999924,22698001.39000000,0.05229806
CRART,2018,50,133918.99000000,434012280.47999924,22831920.38000000,0.05260662
CRART,2018,51,115862.45000000,434012280.47999924,22947782.83000000,0.05287358
CRART,2018,52,185577.49000000,434012280.47999924,23133360.32000000,0.05330117
